# tau / ps;  MSD / pm^2;  Derivative
4.956000; 9763.903392; 1263.339040
4.968000; 9779.063461; 1451.966295
4.980000; 9796.487057; 873.059317
4.992000; 9806.963768; 1199.404762
5.004000; 9821.356625; 1072.190806
5.016000; 9834.222915; 1209.474007
5.028000; 9848.736603; 1086.982098
5.040000; 9861.780388; 1506.355443
5.052000; 9879.856654; 823.932000
5.064000; 9889.743838; 1637.088620
5.076000; 9909.388901; 626.977633
5.088000; 9916.912633; 1054.124149
5.100000; 9929.562123; 1362.706655
5.112000; 9945.914602; 1054.601614
5.124000; 9958.569822; 961.465457
5.136000; 9970.107407; 1553.549662
5.148000; 9988.750003; 1290.238597
5.160000; 10004.232866; 1083.070093
5.172000; 10017.229707; 1510.483514
5.184000; 10035.355510; 1202.105503
5.196000; 10049.780776; 1305.913365
5.208000; 10065.451736; 749.096735
5.220000; 10074.440897; 1101.305657
5.232000; 10087.656565; 974.222068
5.244000; 10099.347230; 856.001744
5.256000; 10109.619250; 1034.398989
5.268000; 10122.032038; 881.934799
5.280000; 10132.615256; 1012.415393
5.292000; 10144.764241; 1007.940841
5.304000; 10156.859531; 1045.919284
5.316000; 10169.410562; 763.890492
5.328000; 10178.577248; 919.634161
5.340000; 10189.612858; 783.774022
5.352000; 10199.018146; 515.197577
5.364000; 10205.200517; 720.576176
5.376000; 10213.847431; 976.092780
5.388000; 10225.560545; 696.037797
5.400000; 10233.912998; 884.824452
5.412000; 10244.530892; 662.479782
5.424000; 10252.480649; 998.382503
5.436000; 10264.461239; 716.053048
5.448000; 10273.053876; 191.646237
5.460000; 10275.353630; 1304.877652
5.472000; 10291.012162; 805.856694
5.484000; 10300.682443; 352.926206
5.496000; 10304.917557; 1093.699170
5.508000; 10318.041947; 655.379088
5.520000; 10325.906496; 390.933064
5.532000; 10330.597693; 905.263394
5.544000; 10341.460854; 1036.679833
5.556000; 10353.901012; 663.485801
5.568000; 10361.862841; 882.115847
5.580000; 10372.448231; 810.724517
5.592000; 10382.176926; 1147.804430
5.604000; 10395.950579; 1182.466239
5.616000; 10410.140174; 1053.372567
5.628000; 10422.780644; 965.783207
5.640000; 10434.370043; 981.024298
5.652000; 10446.142335; 1200.694470
5.664000; 10460.550668; 1420.188600
5.676000; 10477.592931; 775.665858
5.688000; 10486.900922; 1516.763589
5.700000; 10505.102085; 1341.030205
5.712000; 10521.194447; 858.167342
5.724000; 10531.492455; 1186.260275
5.736000; 10545.727579; 1374.473627
5.748000; 10562.221262; 1039.054917
5.760000; 10574.689921; 955.803424
5.772000; 10586.159562; 1232.220876
5.784000; 10600.946213; 998.625064
5.796000; 10612.929714; 1104.056066
5.808000; 10626.178386; 1299.610080
5.820000; 10641.773707; 1399.933256
5.832000; 10658.572906; 1132.102730
5.844000; 10672.158139; 671.368630
5.856000; 10680.214563; 1246.730080
5.868000; 10695.175324; 1137.289729
5.880000; 10708.822800; 985.394746
5.892000; 10720.647537; 987.741068
5.904000; 10732.500430; 1464.687870
5.916000; 10750.076685; 947.937214
5.928000; 10761.451931; 993.136765
5.940000; 10773.369572; 1504.433796
5.952000; 10791.422778; 1032.577572
5.964000; 10803.813709; 860.877512
5.976000; 10814.144239; 898.954057
5.988000; 10824.931688; 1309.195234
6.000000; 10840.642030; 756.303549
6.012000; 10849.717673; 747.546785
6.024000; 10858.688234; 1147.470597
6.036000; 10872.457882; 741.976438
6.048000; 10881.361599; 325.644865
6.060000; 10885.269337; 394.821397
6.072000; 10890.007194; 350.358267
6.084000; 10894.211493; 614.412105
6.096000; 10901.584438; 195.016566
6.108000; 10903.924637; 460.982542
6.120000; 10909.456428; 547.011503
6.132000; 10916.020566; 321.929138
6.144000; 10919.883715; 21.550559
6.156000; 10920.142322; 739.380259
6.168000; 10929.014885; 580.445385
6.180000; 10935.980230; 412.766935
6.192000; 10940.933433; 602.996860
6.204000; 10948.169395; 567.566878
6.216000; 10954.980198; 1472.284662
6.228000; 10972.647614; 873.482171
6.240000; 10983.129400; 721.336406
6.252000; 10991.785437; 855.516477
6.264000; 11002.051635; 1353.158633
6.276000; 11018.289538; 939.284160
6.288000; 11029.560948; 761.693288
6.300000; 11038.701267; 1474.673244
6.312000; 11056.397346; 712.956749
6.324000; 11064.952827; 1082.649695
6.336000; 11077.944624; 1211.440999
6.348000; 11092.481916; 520.976660
6.360000; 11098.733636; 1153.311983
6.372000; 11112.573379; 660.986719
6.384000; 11120.505220; 348.219336
6.396000; 11124.683852; 886.663619
6.408000; 11135.323816; 766.168482
6.420000; 11144.517837; 984.894413
6.432000; 11156.336570; 1035.527417
6.444000; 11168.762899; 460.497116
6.456000; 11174.288865; 988.120689
6.468000; 11186.146313; 782.222650
6.480000; 11195.532985; 1206.378814
6.492000; 11210.009531; 933.306633
6.504000; 11221.209210; 720.853601
6.516000; 11229.859453; 1371.988068
6.528000; 11246.323310; 1172.339059
6.540000; 11260.391379; 831.540662
6.552000; 11270.369867; 1438.199026
6.564000; 11287.628255; 1455.558854
6.576000; 11305.094961; 767.325409
6.588000; 11314.302866; 1647.274923
6.600000; 11334.070165; 813.947809
6.612000; 11343.837539; 1422.110568
6.624000; 11360.902866; 965.970343
6.636000; 11372.494510; 943.551914
6.648000; 11383.817133; 950.506340
6.660000; 11395.223209; 999.995102
6.672000; 11407.223150; 840.290754
6.684000; 11417.306639; 1048.644406
6.696000; 11429.890372; 943.640828
6.708000; 11441.214062; 1119.359347
6.720000; 11454.646374; 1205.466834
6.732000; 11469.111976; 1262.540246
6.744000; 11484.262459; 1261.336027
6.756000; 11499.398492; 1181.394610
6.768000; 11513.575227; 1004.695878
6.780000; 11525.631577; 916.986799
6.792000; 11536.635419; 1006.424975
6.804000; 11548.712519; 1168.944504
6.816000; 11562.739853; 1419.460566
6.828000; 11579.773380; 926.320320
6.840000; 11590.889223; 1150.882812
6.852000; 11604.699817; 1332.930259
6.864000; 11620.694980; 1334.749016
6.876000; 11636.711968; 1037.420424
6.888000; 11649.161014; 1351.698948
6.900000; 11665.381401; 1300.533292
6.912000; 11680.987800; 1304.738378
6.924000; 11696.644661; 1043.822970
6.936000; 11709.170537; 1297.587682
6.948000; 11724.741589; 1419.224593
6.960000; 11741.772284; 889.250543
6.972000; 11752.443290; 823.172638
6.984000; 11762.321362; 1245.521305
6.996000; 11777.267618; 1355.587679
7.008000; 11793.534670; 1125.521359
7.020000; 11807.040926; 1508.213239
7.032000; 11825.139485; 1127.763970
7.044000; 11838.672653; 1084.833928
7.056000; 11851.690660; 1047.530469
7.068000; 11864.261025; 955.206230
7.080000; 11875.723500; 1168.372921
7.092000; 11889.743975; 390.301756
7.104000; 11894.427596; 1548.575780
7.116000; 11913.010506; 562.199074
7.128000; 11919.756895; 673.045128
7.140000; 11927.833436; 925.477847
7.152000; 11938.939170; 885.742364
7.164000; 11949.568079; 693.478186
7.176000; 11957.889817; 1027.185649
7.188000; 11970.216045; 977.512667
7.200000; 11981.946197; 849.334956
7.212000; 11992.138216; 982.678080
7.224000; 12003.930353; 624.549173
7.236000; 12011.424943; 955.895709
7.248000; 12022.895692; 944.443537
7.260000; 12034.229014; 1056.386552
7.272000; 12046.905653; 1091.979699
7.284000; 12060.009409; 1572.587580
7.296000; 12078.880460; 1192.187775
7.308000; 12093.186713; 1302.300831
7.320000; 12108.814323; 1270.617427
7.332000; 12124.061733; 1701.444940
7.344000; 12144.479072; 1055.866727
7.356000; 12157.149473; 1753.060499
7.368000; 12178.186199; 1595.249275
7.380000; 12197.329190; 899.151967
7.392000; 12208.119013; 1441.640760
7.404000; 12225.418703; 1183.158155
7.416000; 12239.616600; 1351.130517
7.428000; 12255.830167; 997.239799
7.440000; 12267.797044; 1356.950448
7.452000; 12284.080450; 859.542073
7.464000; 12294.394954; 1199.837584
7.476000; 12308.793005; 1062.361695
7.488000; 12321.541346; 517.147494
7.500000; 12327.747116; 921.543664
7.512000; 12338.805640; 764.315316
7.524000; 12347.977423; 307.789959
7.536000; 12351.670903; 921.485820
7.548000; 12362.728733; 403.578292
7.560000; 12367.571672; 739.023348
7.572000; 12376.439953; 799.220097
7.584000; 12386.030594; 1165.843015
7.596000; 12400.020710; 1472.705825
7.608000; 12417.693180; 405.562901
7.620000; 12422.559935; 1029.060538
7.632000; 12434.908661; 1107.872420
7.644000; 12448.203130; 1172.926843
7.656000; 12462.278252; 980.770993
7.668000; 12474.047504; 1483.608866
7.680000; 12491.850811; 1047.480526
7.692000; 12504.420577; 1143.247745
7.704000; 12518.139550; 1132.197666
7.716000; 12531.725922; 1427.839064
7.728000; 12548.859991; 446.449680
7.740000; 12554.217387; 1437.654564
7.752000; 12571.469241; 761.149727
7.764000; 12580.603038; 551.667309
7.776000; 12587.223046; 1301.295907
7.788000; 12602.838597; 1009.228023
7.800000; 12614.949333; 259.511468
7.812000; 12618.063471; 541.654841
7.824000; 12624.563329; 945.017379
7.836000; 12635.903537; 708.279842
7.848000; 12644.402895; 643.599785
7.860000; 12652.126093; 811.756790
7.872000; 12661.867174; 669.144925
7.884000; 12669.896913; 564.748802
7.896000; 12676.673899; 548.678718
7.908000; 12683.258044; 587.015983
7.920000; 12690.302235; 1072.091317
7.932000; 12703.167331; 696.449574
7.944000; 12711.524726; 860.281843
7.956000; 12721.848108; 801.163086
7.968000; 12731.462065; 850.444916
7.980000; 12741.667404; 798.593723
7.992000; 12751.250529; 1283.583933
8.004000; 12766.653536; 972.043411
8.016000; 12778.318057; 1245.491007
8.028000; 12793.263949; 1246.126998
8.040000; 12808.217473; 1296.274949
8.052000; 12823.772773; 1633.267624
8.064000; 12843.371984; 986.522195
8.076000; 12855.210250; 1568.523933
8.088000; 12874.032538; 1356.495729
8.100000; 12890.310486; 1168.519059
8.112000; 12904.332715; 1143.783907
8.124000; 12918.058122; 1282.882817
8.136000; 12933.452716; 760.860067
8.148000; 12942.583036; 1217.478440
8.160000; 12957.192778; 1070.889207
8.172000; 12970.043448; 1049.097676
8.184000; 12982.632620; 867.356750
8.196000; 12993.040901; 781.089083
8.208000; 13002.413970; 1389.638562
8.220000; 13019.089633; 1049.501622
8.232000; 13031.683653; 954.931069
8.244000; 13043.142825; 1256.274930
8.256000; 13058.218125; 963.241975
8.268000; 13069.777028; 1161.185451
8.280000; 13083.711254; 1022.778532
8.292000; 13095.984596; 1483.247708
8.304000; 13113.783569; 1347.205132
8.316000; 13129.950030; 1030.005646
8.328000; 13142.310098; 801.491011
8.340000; 13151.927990; 1778.370252
8.352000; 13173.268433; 870.280402
8.364000; 13183.711798; 757.872156
8.376000; 13192.806264; 1430.504686
8.388000; 13209.972320; 600.601966
8.400000; 13217.179544; 584.365604
8.412000; 13224.191931; 805.531299
8.424000; 13233.858306; 748.045870
8.436000; 13242.834857; 561.810208
8.448000; 13249.576579; 730.703956
8.460000; 13258.345027; 653.924575
8.472000; 13266.192122; 469.400926
8.484000; 13271.824933; 905.766152
8.496000; 13282.694127; 899.419635
8.508000; 13293.487162; 564.511747
