# Tau / ps;  Vector autocorrelation;  1-exp fit;  2-exp fit;  3-exp fit
1.484000000;  0.8955693740; 0.9361258681; 0.8905786927; 0.8973365263
1.484500000;  0.8955579773; 0.9361131787; 0.8905673230; 0.8973244851
1.485000000;  0.8955465576; 0.9361004896; 0.8905559570; 0.8973124449
1.485500000;  0.8955351153; 0.9360878006; 0.8905445949; 0.8973004058
1.486000000;  0.8955236505; 0.9360751117; 0.8905332365; 0.8972883678
1.486500000;  0.8955121635; 0.9360624231; 0.8905218819; 0.8972763308
1.487000000;  0.8955006547; 0.9360497346; 0.8905105310; 0.8972642949
1.487500000;  0.8954891248; 0.9360370463; 0.8904991839; 0.8972522600
1.488000000;  0.8954775746; 0.9360243582; 0.8904878405; 0.8972402262
1.488500000;  0.8954660050; 0.9360116702; 0.8904765009; 0.8972281935
1.489000000;  0.8954544168; 0.9359989824; 0.8904651650; 0.8972161618
1.489500000;  0.8954428111; 0.9359862948; 0.8904538328; 0.8972041311
1.490000000;  0.8954311896; 0.9359736074; 0.8904425044; 0.8971921015
1.490500000;  0.8954195538; 0.9359609201; 0.8904311797; 0.8971800730
1.491000000;  0.8954079050; 0.9359482330; 0.8904198588; 0.8971680455
1.491500000;  0.8953962451; 0.9359355461; 0.8904085415; 0.8971560190
1.492000000;  0.8953845760; 0.9359228593; 0.8903972280; 0.8971439936
1.492500000;  0.8953729000; 0.9359101727; 0.8903859182; 0.8971319693
1.493000000;  0.8953612194; 0.9358974863; 0.8903746120; 0.8971199460
1.493500000;  0.8953495364; 0.9358848001; 0.8903633096; 0.8971079237
1.494000000;  0.8953378538; 0.9358721140; 0.8903520109; 0.8970959025
1.494500000;  0.8953261745; 0.9358594281; 0.8903407159; 0.8970838823
1.495000000;  0.8953145016; 0.9358467424; 0.8903294246; 0.8970718632
1.495500000;  0.8953028380; 0.9358340568; 0.8903181369; 0.8970598451
1.496000000;  0.8952911869; 0.9358213715; 0.8903068530; 0.8970478281
1.496500000;  0.8952795515; 0.9358086863; 0.8902955727; 0.8970358121
1.497000000;  0.8952679353; 0.9357960012; 0.8902842961; 0.8970237971
1.497500000;  0.8952563419; 0.9357833164; 0.8902730231; 0.8970117832
1.498000000;  0.8952447744; 0.9357706317; 0.8902617538; 0.8969997703
1.498500000;  0.8952332364; 0.9357579471; 0.8902504882; 0.8969877585
1.499000000;  0.8952217314; 0.9357452628; 0.8902392262; 0.8969757477
1.499500000;  0.8952102629; 0.9357325786; 0.8902279679; 0.8969637379
1.500000000;  0.8951988344; 0.9357198946; 0.8902167133; 0.8969517292
1.500500000;  0.8951874489; 0.9357072108; 0.8902054622; 0.8969397215
1.501000000;  0.8951761097; 0.9356945271; 0.8901942148; 0.8969277148
1.501500000;  0.8951648202; 0.9356818436; 0.8901829711; 0.8969157092
1.502000000;  0.8951535831; 0.9356691603; 0.8901717310; 0.8969037046
1.502500000;  0.8951424011; 0.9356564772; 0.8901604945; 0.8968917010
1.503000000;  0.8951312769; 0.9356437942; 0.8901492616; 0.8968796985
1.503500000;  0.8951202129; 0.9356311114; 0.8901380324; 0.8968676970
1.504000000;  0.8951092114; 0.9356184288; 0.8901268067; 0.8968556965
